timestep,reward
398931,0.02
401366,0.12
403866,0.02
406322,0.02
408780,0.04
411139,0.04
413645,0.16
416065,0.04
418495,0.06
421055,0.04
423451,0.0
425996,0.1
428465,0.08
431095,0.0
433572,0.02
435951,0.02
438459,0.02
440728,0.04
443078,0.04
445412,0.1
447764,0.02
450136,0.04
452573,0.06
455014,0.08
457617,0.12
460005,0.08
462479,0.18
464929,0.1
467350,0.02
469838,0.08
472216,0.1
474577,0.08
477027,0.04
479433,0.14
481792,0.06
484244,0.08
486632,0.14
488975,0.1
491391,0.04
493817,0.14
496152,0.16
498556,0.14
501072,0.06
503469,0.08
505766,0.16
508081,0.08
510580,0.14
513190,0.12
515665,0.16
518260,0.14
520791,0.1
523249,0.06
525618,0.1
527968,0.12
530444,0.12
532883,0.1
535431,0.06
538014,0.1
540481,0.06
542870,0.14
545146,0.02
547618,0.16
550164,0.08
552654,0.14
555020,0.04
557500,0.1
559971,0.16
562496,0.08
564947,0.12
567315,0.14
569841,0.04
572298,0.08
574840,0.04
577433,0.04
579851,0.1
582214,0.12
584540,0.16
586993,0.06
589396,0.08
591905,0.14
594327,0.1
596740,0.1
599203,0.14
601636,0.06
604130,0.06
606659,0.04
609159,0.04
611816,0.16
614259,0.04
616725,0.08
619258,0.06
621921,0.02
624376,0.08
626863,0.14
629427,0.08
631940,0.06
634379,0.06
636912,0.1
639441,0.04
641765,0.0
644140,0.06
646462,0.02
648837,0.04
651265,0.04
653694,0.14
656222,0.1
658787,0.24
661197,0.12
663658,0.1
666132,0.08
668672,0.02
671287,0.08
673837,0.04
676316,0.02
678733,0.08
681193,0.02
683604,0.06
686168,0.06
688611,0.12
690961,0.08
693476,0.04
695914,0.1
698553,0.14
700961,0.18
703524,0.1
705999,0.16
708465,0.16
710923,0.16
713382,0.06
715896,0.06
718381,0.06
720867,0.08
723337,0.0
725861,0.14
728354,0.2
730859,0.1
733260,0.1
735689,0.1
738170,0.04
740766,0.08
743307,0.1
745572,0.08
747989,0.08
750381,0.0
752861,0.0
755249,0.0
757816,0.04
760330,0.1
762790,0.14
765250,0.1
767818,0.14
770278,0.04
772862,0.08
